Date,Day,Treatment,Header,TankID,Temperature,pH,Temp,pHspec,Sal,Diam1,Diam2,DiamMean,Growth,Height,pCO2out,AlkTotal,PartOfSpine,Chosen,RatioSEM,SpineLength,RatioLength,SpineCount
2018-09-26,-24,T,1,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,AMB,2,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,OA,3,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T/OA,4,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,OA,5,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T/OA,6,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T,7,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,AMB,8,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,AMB,2,1t,ambient,ambient,NA,NA,NA,7.29,7.29,7.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T/OA,4,2t,heated,acidified,NA,NA,NA,7.47,7.47,7.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T,1,3t,heated,ambient,NA,NA,NA,7.74,7.74,7.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,OA,3,4t,ambient,acidified,NA,NA,NA,7.44,7.04,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,AMB,2,5t,ambient,ambient,NA,NA,NA,8.42,8.42,8.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,OA,3,6t,ambient,acidified,NA,NA,NA,6.80,6.93,6.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T/OA,4,7t,heated,acidified,NA,NA,NA,7.63,7.63,7.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T,1,8t,heated,ambient,NA,NA,NA,7.66,7.66,7.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,AMB,2,9t,ambient,ambient,NA,NA,NA,7.50,7.50,7.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T,1,10t,heated,ambient,NA,NA,NA,7.92,7.92,7.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T/OA,4,11t,heated,acidified,NA,NA,NA,6.22,6.22,6.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,OA,3,12t,ambient,acidified,NA,NA,NA,7.78,7.78,7.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,AMB,8,13t,ambient,ambient,NA,NA,NA,6.53,6.69,6.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T/OA,6,14t,heated,acidified,NA,NA,NA,7.99,7.99,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,AMB,8,15t,ambient,ambient,NA,NA,NA,7.36,7.36,7.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,OA,5,16t,ambient,acidified,NA,NA,NA,6.66,6.66,6.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T,7,17t,heated,ambient,NA,NA,NA,7.80,7.80,7.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T,7,18t,heated,ambient,NA,NA,NA,6.97,6.97,6.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T/OA,6,19t,heated,acidified,NA,NA,NA,7.52,7.52,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,AMB,8,20t,ambient,ambient,NA,NA,NA,8.91,8.91,8.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,OA,5,21t,ambient,acidified,NA,NA,NA,6.64,6.64,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T,7,22t,heated,ambient,NA,NA,NA,8.98,8.98,8.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,T/OA,6,23t,heated,acidified,NA,NA,NA,7.06,7.06,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,-24,OA,5,24t,ambient,acidified,NA,NA,NA,8.60,8.60,8.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T,1,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,AMB,2,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,OA,3,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T/OA,4,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,OA,5,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T/OA,6,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T,7,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,AMB,8,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,AMB,2,1t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T/OA,4,2t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T,1,3t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,OA,3,4t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,AMB,2,5t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,OA,3,6t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T/OA,4,7t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T,1,8t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,AMB,2,9t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T,1,10t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T/OA,4,11t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,OA,3,12t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,AMB,8,13t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T/OA,6,14t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,AMB,8,15t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,OA,5,16t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T,7,17t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T,7,18t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T/OA,6,19t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,AMB,8,20t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,OA,5,21t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T,7,22t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,T/OA,6,23t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-29,-22,OA,5,24t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T,1,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,AMB,2,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,OA,3,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T/OA,4,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,OA,5,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T/OA,6,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T,7,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,AMB,8,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,AMB,2,1t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T/OA,4,2t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T,1,3t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,OA,3,4t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,AMB,2,5t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,OA,3,6t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T/OA,4,7t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T,1,8t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,AMB,2,9t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T,1,10t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T/OA,4,11t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,OA,3,12t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,AMB,8,13t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T/OA,6,14t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,AMB,8,15t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,OA,5,16t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T,7,17t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T,7,18t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T/OA,6,19t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,AMB,8,20t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,OA,5,21t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T,7,22t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,T/OA,6,23t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,-19,OA,5,24t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
